                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.4321,                 1.0796,                 1.6524,                0.98203,                0.63235,                0.76361,                0.51597,                 1.2899,                 1.3216,                 1.4046,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.3433,                 1.0216,                  1.617,                0.93074,                0.61765,                0.75102,                0.52505,                 1.2845,                 1.4071,                 1.4133,               0.001208,               0.001208,               0.001208
                    122,                  1.366,                 1.0228,                 1.6366,                 0.9813,                0.61765,                0.82486,                0.51842,                 1.3613,                 1.1977,                 1.4491,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.4222,                 1.0883,                 1.6717,                0.95692,                0.61765,                0.76305,                0.50683,                 1.2535,                 1.2056,                 1.3386,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.3762,                  1.076,                 1.6339,                0.93389,                0.63235,                0.76993,                0.55449,                 1.2163,                 1.1861,                 1.3721,              0.0011882,              0.0011882,              0.0011882
                    125,                  1.352,                 1.0304,                 1.5925,                0.92843,                0.63235,                0.83418,                0.58287,                 1.2411,                 1.0402,                 1.3855,              0.0011816,              0.0011816,              0.0011816
                    126,                  1.395,                 1.0614,                 1.6432,                0.96956,                0.61765,                0.76914,                0.50094,                 1.4778,                 1.5415,                 1.5418,               0.001175,               0.001175,               0.001175
                    127,                 1.3874,                 1.0259,                  1.632,                0.72369,                0.61765,                0.75333,                0.50458,                 1.4568,                 1.4387,                  1.548,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.3698,                 1.0423,                 1.6345,                0.85581,                0.61108,                0.78207,                0.52588,                  1.393,                 1.2653,                 1.5393,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.3578,                 1.0391,                 1.6226,                0.90478,                0.61765,                0.78093,                0.56208,                 1.2729,                 1.3224,                 1.4544,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.3668,                 1.0183,                 1.6396,                0.95416,                0.61765,                0.78808,                0.50362,                 1.4195,                 1.2211,                 1.4712,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.3644,                   1.03,                 1.6496,                0.83634,                0.63235,                0.77625,                 0.5134,                  1.339,                 1.3075,                  1.438,               0.001142,               0.001142,               0.001142
                    132,                 1.3713,                 1.0227,                 1.6264,                0.82774,                0.61765,                0.74045,                0.52585,                  1.238,                 1.4169,                 1.3772,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.3185,                 1.0097,                 1.6014,                0.90038,                0.61765,                 0.7519,                0.52742,                 1.3203,                 1.3951,                 1.4327,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.3495,                 1.0211,                 1.6079,                0.73694,                0.63235,                0.75501,                0.48491,                 1.4515,                 1.4486,                 1.5624,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.3445,                 1.0411,                 1.6003,                0.70148,                0.63235,                0.75787,                0.49861,                 1.3165,                 1.2798,                 1.4746,              0.0011156,              0.0011156,              0.0011156
                    136,                  1.393,                 1.0102,                  1.616,                 0.9589,                0.63235,                  0.783,                0.54825,                 1.2421,                 1.2229,                 1.3632,               0.001109,               0.001109,               0.001109
                    137,                 1.3584,                0.99182,                   1.61,                0.88876,                0.63235,                0.80218,                0.57976,                 1.1978,                 1.1186,                 1.3361,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.3454,                 1.0352,                 1.6289,                0.81093,                0.63235,                0.78585,                0.54424,                 1.2802,                 1.1489,                 1.3607,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.3557,                 1.0111,                 1.6033,                0.98422,                0.63235,                 0.7981,                0.53124,                 1.3586,                 1.3569,                 1.4229,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.3893,                 1.0119,                 1.6487,                0.96857,                0.61765,                0.78486,                0.53705,                  1.306,                 1.3491,                 1.3986,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.3697,                  1.018,                 1.6213,                0.98965,                0.63235,                0.79775,                0.55477,                  1.252,                 1.1634,                 1.3735,               0.001076,               0.001076,               0.001076
                    142,                 1.3571,                0.98618,                 1.5984,                0.96551,                0.61765,                 0.7895,                0.55199,                 1.3221,                 1.3219,                 1.4372,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.3133,                 0.9818,                 1.5744,                      1,                0.63085,                0.79572,                0.54917,                 1.2659,                  1.242,                 1.3897,              0.0010628,              0.0010628,              0.0010628
